id,price_doc
30474,5586255.380663624
30475,8431377.613095699
30476,5586255.380663624
30477,5819472.902579151
30478,5586255.380663624
30479,5586255.380663624
30480,4135686.200344673
30481,4135686.200344673
30482,4135686.200344673
30483,4135686.200344673
30484,5586255.380663624
30485,5586255.380663624
30486,3447328.9872239893
30487,4135686.200344673
30488,6771629.264719099
30489,6771629.264719099
30490,17221815.187485136
30491,12700515.264164913
30492,5819472.902579151
30493,12700515.264164913
30494,7257775.556044553
30495,7257775.556044553
30496,9959501.273744328
30497,8431377.613095699
30498,4468061.634569587
30499,5819472.902579151
30500,9959501.273744328
30501,5586255.380663624
30502,3447328.9872239893
30503,5586255.380663624
30504,5586255.380663624
30505,12700515.264164913
30506,2974425.4509511357
30507,5586255.380663624
30508,7257775.556044553
30509,7257775.556044553
30510,6851994.985553242
30511,5586255.380663624
30512,5586255.380663624
30513,4135686.200344673
30514,4255638.324833656
30515,6851994.985553242
30516,5819472.902579151
30517,6851994.985553242
30518,5586255.380663624
30519,4468061.634569587
30520,5586255.380663624
30521,5586255.380663624
30522,8431377.613095699
30523,5586255.380663624
30524,7257775.556044553
30525,5586255.380663624
30526,5586255.380663624
30527,5819472.902579151
30528,5586255.380663624
30529,5586255.380663624
30530,5586255.380663624
30531,9959501.273744328
30532,5819472.902579151
30533,6851994.985553242
30534,7257775.556044553
30535,6851994.985553242
30536,5819472.902579151
30537,9959501.273744328
30538,4468061.634569587
30539,7318209.986664407
30540,6851994.985553242
30541,5586255.380663624
30542,3024722.1930337073
30543,5586255.380663624
30544,7257775.556044553
30545,5586255.380663624
30546,4135686.200344673
30547,7257775.556044553
30548,4135686.200344673
30549,5586255.380663624
30550,9959501.273744328
30551,5586255.380663624
30552,2232648.994553019
30553,5586255.380663624
30554,12700515.264164913
30555,7257775.556044553
30556,5586255.380663624
30557,7257775.556044553
30558,7257775.556044553
30559,5586255.380663624
30560,4468061.634569587
30561,5586255.380663624
30562,6851994.985553242
30563,5586255.380663624
30564,5586255.380663624
30565,6771629.264719099
30566,6771629.264719099
30567,3024722.1930337073
30568,6851994.985553242
30569,7257775.556044553
30570,5586255.380663624
30571,5586255.380663624
30572,5586255.380663624
30573,5586255.380663624
30574,5586255.380663624
30575,5586255.380663624
30576,4135686.200344673
30577,5586255.380663624
30578,2974425.4509511357
30579,5586255.380663624
30580,5586255.380663624
30581,4468061.634569587
30582,6851994.985553242
30583,7257775.556044553
30584,4468061.634569587
30585,2232648.994553019
30586,7257775.556044553
30587,5819472.902579151
30588,5586255.380663624
30589,7257775.556044553
30590,12700515.264164913
30591,5586255.380663624
30592,5586255.380663624
30593,9959501.273744328
30594,7318209.986664407
30595,4468061.634569587
30596,6771629.264719099
30597,5586255.380663624
30598,6851994.985553242
30599,12700515.264164913
30600,7257775.556044553
30601,5586255.380663624
30602,3024722.1930337073
30603,9959501.273744328
30604,4468061.634569587
30605,5586255.380663624
30606,17221815.187485136
30607,5586255.380663624
30608,6771629.264719099
30609,6771629.264719099
30610,3447328.9872239893
30611,7257775.556044553
30612,7257775.556044553
30613,7257775.556044553
30614,17221815.187485136
30615,7257775.556044553
30616,7257775.556044553
30617,7257775.556044553
30618,4468061.634569587
30619,5586255.380663624
30620,2974425.4509511357
30621,6851994.985553242
30622,5586255.380663624
30623,5586255.380663624
30624,6771629.264719099
30625,7257775.556044553
30626,5586255.380663624
30627,7257775.556044553
30628,5586255.380663624
30629,5586255.380663624
30630,5586255.380663624
30631,7257775.556044553
30632,4135686.200344673
30633,5586255.380663624
30634,9959501.273744328
30635,6851994.985553242
30636,5586255.380663624
30637,6851994.985553242
30638,5586255.380663624
30639,5586255.380663624
30640,4135686.200344673
30641,8431377.613095699
30642,5586255.380663624
30643,7257775.556044553
30644,6851994.985553242
30645,5819472.902579151
30646,5586255.380663624
30647,4135686.200344673
30648,17221815.187485136
30649,2974425.4509511357
30650,4468061.634569587
30651,2974425.4509511357
30652,4135686.200344673
30653,5819472.902579151
30654,5819472.902579151
30655,6851994.985553242
30656,4135686.200344673
30657,5586255.380663624
30658,7257775.556044553
30659,5586255.380663624
30660,7257775.556044553
30661,5586255.380663624
30662,7257775.556044553
30663,17221815.187485136
30664,6851994.985553242
30665,6771629.264719099
30666,2974425.4509511357
30667,4135686.200344673
30668,7257775.556044553
30669,5819472.902579151
30670,3024722.1930337073
30671,7257775.556044553
30672,6851994.985553242
30673,9959501.273744328
30674,6851994.985553242
30675,3024722.1930337073
30676,7257775.556044553
30677,4468061.634569587
30678,17221815.187485136
30679,5586255.380663624
30680,7257775.556044553
30681,2232648.994553019
30682,5819472.902579151
30683,6851994.985553242
30684,4468061.634569587
30685,7257775.556044553
30686,6851994.985553242
30687,5586255.380663624
30688,5586255.380663624
30689,6851994.985553242
30690,17221815.187485136
30691,4468061.634569587
30692,5586255.380663624
30693,9959501.273744328
30694,4468061.634569587
30695,5586255.380663624
30696,5586255.380663624
30697,6851994.985553242
30698,7257775.556044553
30699,4468061.634569587
30700,5586255.380663624
30701,6851994.985553242
30702,5586255.380663624
30703,4135686.200344673
30704,6851994.985553242
30705,5586255.380663624
30706,17221815.187485136
30707,4255638.324833656
30708,12700515.264164913
30709,4468061.634569587
30710,5819472.902579151
30711,5819472.902579151
30712,4135686.200344673
30713,4468061.634569587
30714,5586255.380663624
30715,3798686.2407305688
30716,6851994.985553242
30717,5586255.380663624
30718,9959501.273744328
30719,12700515.264164913
30720,5586255.380663624
30721,4468061.634569587
30722,6771629.264719099
30723,6771629.264719099
30724,9959501.273744328
30725,5586255.380663624
30726,12700515.264164913
30727,6851994.985553242
30728,9959501.273744328
30729,2974425.4509511357
30730,5586255.380663624
30731,7257775.556044553
30732,5586255.380663624
30733,3762421.8296735003
30734,5586255.380663624
30735,5819472.902579151
30736,7257775.556044553
30737,5586255.380663624
30738,5586255.380663624
30739,3798686.2407305688
