id,price_doc
30474,5466002.103849994
30475,8210406.829954332
30476,4442571.42627681
30477,5353368.05992403
30478,5182385.665629042
30479,7622450.398889675
30480,4337468.135208497
30481,4405934.343751199
30482,4803346.425380287
30483,4786928.182210782
30484,6120334.664339448
30485,5042911.11656937
30486,3515074.592311306
30487,4320057.53439568
30488,5891767.031582988
30489,5978704.282408494
30490,19201205.534681775
30491,15790774.39362355
30492,5606077.495420752
30493,10768500.76931539
30494,7063929.261397845
30495,9566494.470375223
30496,8361990.044972214
30497,7595374.136513823
30498,4516447.546750709
30499,6046886.709884241
30500,11228798.34590877
30501,6914025.2531503225
30502,3426507.5141653586
30503,5481217.989723633
30504,5833803.013663945
30505,10093655.789972369
30506,3141613.239604472
30507,4965999.453396641
30508,5568593.8682348095
30509,7391638.865461481
30510,9361557.553607767
30511,6166959.197312
30512,6603220.892702127
30513,4315542.102800735
30514,3707152.060169156
30515,9775219.3687354
30516,5929641.462528109
30517,9842527.725302145
30518,6633212.155702644
30519,4115925.7254800396
30520,7217412.792917068
30521,6220250.643602889
30522,7599176.205464815
30523,6086175.981135022
30524,10139124.693747215
30525,7973616.723112724
30526,4846218.033625778
30527,4768118.875286317
30528,5927296.30285995
30529,5932283.124501495
30530,5988771.88654734
30531,14215385.37026253
30532,4582673.814631706
30533,9570373.20792454
30534,7159683.805434475
30535,9618857.944355518
30536,5533147.9546966655
30537,11168479.60655264
30538,4686054.377312656
30539,9171558.184979282
30540,9673272.412657086
30541,4029253.5789640695
30542,2230000.102939083
30543,6114947.367780013
30544,7288998.312681808
30545,6577693.562698333
30546,3967739.508625295
30547,9381406.212896857
30548,4634322.398939134
30549,5173387.216897187
30550,10655013.61436001
30551,5263574.05013974
30552,2163479.1010528854
30553,6363064.445059738
30554,10465296.48993681
30555,6165615.844082251
30556,7925905.119273293
30557,6685477.7405007435
30558,8310820.657134968
30559,6681661.030220286
30560,5807580.784959879
30561,7136898.721949868
30562,12116819.974817943
30563,3962376.4012568896
30564,6345214.85754425
30565,5505776.028722428
30566,6820674.396928359
30567,2212524.098832007
30568,10013624.12821232
30569,9358527.78348017
30570,6337576.83327749
30571,7258860.266584406
30572,5036165.576685817
30573,6467207.826538624
30574,6109177.648040262
30575,6929938.469025125
30576,4343210.681275446
30577,2777783.8651986155
30578,3247300.3525142213
30579,6829395.377214105
30580,4567141.063924996
30581,4528091.437026382
30582,11223349.291193582
30583,7227779.507980038
30584,4336005.940530672
30585,2749307.390555526
30586,8808235.11111645
30587,5468160.341004216
30588,7567259.920235299
30589,6604433.487454831
30590,13125538.586303122
30591,4878031.744100354
30592,5876710.351334158
30593,8255605.886251418
30594,6329316.220812719
30595,4493009.430833927
30596,6741643.031801286
30597,6487863.954697795
30598,9506673.9723275
30599,10630415.382263208
30600,5134875.871555721
30601,5996948.924618976
30602,2171250.023880101
30603,12297601.569093889
30604,4835943.814598845
30605,6722764.887650994
30606,16675643.019791933
30607,5311435.388580887
30608,8568907.49279143
30609,5952332.725096805
30610,3240375.4659179985
30611,5532073.480296508
30612,6854286.98192554
30613,8616412.762007404
30614,15983916.875178766
30615,5141672.524773518
30616,5538038.074070797
30617,8835292.435832646
30618,5117273.161864683
30619,4403942.6667558905
30620,2855798.4189685406
30621,9834990.246196166
30622,7920234.2416607095
30623,5960295.637019182
30624,6278573.923117847
30625,7614292.3285962
30626,5926505.1214411855
